id	char
1915	联
1916	聚
1917	聪
1918	肆
1919	肉
1920	肌
1921	肚
1922	肠
1923	股
1924	肤
1925	肩
1926	肪
1927	肯
1928	育
1929	肿
1930	胃
1931	胆
1932	背
1933	胎
1934	胖
1935	胜
1936	胞
1937	胡
1938	胧
1939	胶
1940	胸
1941	能
1942	脆
1943	脉
1944	脊
1945	脏
1946	脑
1947	脚
1948	脱
1949	脸
1950	脾
1951	腐
1952	腑
1953	腔
1954	腰
1955	腹
1956	腾
1957	腿
1958	膀
1959	膏
1960	膛
1961	臂
1962	臃
1963	自
1964	臭
1965	至
1966	致
1967	臼
1968	舀
1969	舌
1970	舍
1971	舒
1972	舔
1973	舞
1974	舟
1975	般
1976	船
1977	良
1978	艰
1979	色
1980	艳
1981	艺
1982	节
1983	芒
1984	芜
1985	芦
1986	芬
1987	花
1988	芳
1989	芽
1990	苇
1991	苍
1992	苏
1993	苔
1994	苗
1995	苟
1996	若
1997	苦
1998	英
1999	苹
2000	茁
2001	茂
2002	茅
2003	茉
2004	茏
2005	茗
2006	茧
2007	茫
2008	茶
2009	荆
2010	草
2011	荒
2012	荞
2013	荡
2014	荣
2015	荫
2016	药
2017	荷
2018	荼
2019	莉
2020	莫
2021	莲
2022	获
2023	莹
2024	莺
2025	莽
2026	菊
2027	菜
2028	菡
2029	萄
2030	萌
2031	萍
2032	萎
2033	萏
2034	萤
2035	营
2036	萧
2037	落
2038	著
2039	葡
2040	葬
2041	葱
2042	葳
2043	葵
2044	蒂
2045	蒙
2046	蒜
2047	蒲
2048	蒸
2049	蒿
2050	蓄
2051	蓝
2052	蓬
2053	蔑
2054	蔓
2055	蔚
2056	蔷
2057	蔽
2058	蕤
2059	蕴
2060	薄
2061	薇
2062	藉
2063	藏
2064	藤
2065	虎
2066	虑
2067	虔
2068	虚
2069	虞
2070	虫
2071	虹
2072	虽
2073	虾
2074	蚀
2075	蚁
2076	蚊
2077	蚌
2078	蚕
2079	蛋
2080	蛙
2081	蛤
2082	蛮
2083	蜀
2084	蜂
2085	蜒
2086	蜜
2087	蜿
2088	蝇
2089	蝉
2090	蝴
2091	蝶
2092	蝼
2093	融
2094	蟀
2095	蟆
2096	蟋
2097	蠢
2098	血
2099	行
2100	衔
2101	街
2102	衙
2103	衣
2104	补
2105	表
2106	衫
2107	衬
2108	衰
2109	衷
2110	袄
2111	袅
2112	袋
2113	袍
2114	袖
2115	袜
2116	袤
2117	被
2118	袭
2119	袱
2120	裂
2121	装
2122	裕
2123	裙
2124	裳
2125	裸
2126	裹
2127	褓
2128	襁
2129	襟
2130	西
2131	要
2132	覆
2133	见
2134	观
2135	规
2136	觅
2137	视
2138	览
2139	觉
2140	角
2141	觞
2142	解
2143	觥
2144	触
2145	言
2146	誉
2147	誓
2148	警
2149	譬
2150	计
2151	认
2152	讨
2153	让
2154	训
2155	议
2156	讯
2157	记
2158	讲
2159	许
2160	论
2161	设
2162	诅
2163	识
2164	诈
2165	诉
2166	词
2167	试
2168	诗
2169	诚
2170	话
2171	诞
2172	诠
2173	该
2174	详
2175	诧
2176	语
2177	误
2178	诱
2179	说
2180	诵
2181	请
2182	诸
2183	诺
2184	读
2185	谁
2186	调
2187	谅
2188	谈
2189	谊
2190	谎
2191	谐
2192	谓
2193	谜
2194	谢
2195	谣
2196	谦
2197	谧
2198	谨
2199	谱
2200	谷
2201	豁
2202	豆
2203	象
2204	豪
2205	豫
2206	貌
2207	贝
2208	贞
2209	负
2210	责
2211	败
2212	货
2213	质
2214	贪
2215	贫
2216	贬
2217	贯
2218	贱
2219	贵
2220	费
2221	资
2222	赋
2223	赏
2224	赐
2225	赖
2226	赘
2227	赞
2228	赠
2229	赤
2230	走
2231	赴
2232	赶
2233	起
2234	趁
2235	超
2236	越
2237	趟
2238	趣
2239	足
2240	趾
2241	跃
2242	跋
2243	跌
2244	跑
2245	跚
2246	距
2247	跟
2248	跤
2249	跨
2250	跪
2251	跫
2252	路
2253	跳
2254	跹
2255	踌
2256	踏
2257	踩
2258	踪
2259	踮
2260	踱
2261	蹄
2262	蹈
2263	蹒
2264	蹭
2265	躁
2266	躇
2267	身
2268	躯
2269	躲
2270	躺
2271	车
2272	轧
2273	轨
2274	轩
2275	转
2276	轮
2277	软
2278	轻
2279	载
2280	较
2281	辆
2282	辈
2283	辉
2284	辑
2285	辗
2286	辛
2287	辜
2288	辞
2289	辣
2290	辨
2291	辩
2292	辰
2293	辱
2294	边
2295	辽
2296	达
2297	迁
2298	过
2299	迈
2300	迎
2301	运
2302	近
2303	返
2304	还
2305	这
2306	进
2307	远
2308	违
2309	连
2310	迟
2311	迫
2312	述
2313	迷
2314	迹
2315	追
2316	退
2317	送
2318	适
2319	逃
2320	逅
2321	逆
2322	选
2323	逊
2324	逍
2325	透
2326	逐
2327	递
2328	途
2329	逗
2330	通
2331	逝
2332	速
2333	造
2334	逢
2335	逸
2336	逻
2337	逼
2338	遇
2339	遍
2340	遒
2341	道
2342	遗
2343	遣
2344	遥
2345	遨
2346	遭
2347	遮
2348	遵
2349	避
2350	邀
2351	邂
2352	邃
2353	那
2354	邪
2355	邻
2356	郁
2357	郊
2358	郎
2359	部
2360	都
2361	鄙
2362	配
2363	酒
2364	酝
2365	酱
2366	酷
2367	酸
2368	酿
2369	醇
2370	醉
2371	醋
2372	醒
2373	采
2374	释
2375	里
2376	重
2377	野
2378	量
2379	金
2380	釜
2381	鉴
2382	针
2383	钓
2384	钗
2385	钟
2386	钢
2387	钥
2388	钱
2389	钻
2390	铁
2391	铄
2392	铜
2393	铧
2394	铭
2395	铮
2396	银
2397	铸
2398	铺
2399	销
2400	锁
2401	锄
2402	锅
2403	锈
2404	锋
2405	错
2406	锢
2407	锦
2408	镀
2409	镇
2410	镌
2411	镜
2412	镰
2413	镶
2414	长
2415	门
2416	闪
2417	闭
2418	问
2419	闯
2420	闲
2421	间
2422	闷
2423	闹
2424	闺
2425	闻
2426	阁
2427	阂
2428	阅
2429	阑
2430	阔
2431	阱
2432	防
2433	阳
2434	阴
2435	阵
2436	阻
2437	阿
2438	际
2439	陆
2440	陈
2441	陋
2442	陌
2443	降
2444	限
2445	陕
2446	院
2447	除
2448	险
2449	陪
2450	陶
2451	陷
2452	随
2453	隐
2454	隔
2455	隙
2456	隶
2457	难
2458	雀
2459	雁
2460	雄
2461	雅
2462	集
2463	雍
2464	雏
2465	雕
2466	雨
2467	雪
2468	零
2469	雷
2470	雾
2471	需
2472	霄
2473	震
2474	霉
2475	霍
2476	霎
2477	霓
2478	霖
2479	霜
2480	霞
2481	霭
2482	露
2483	霸
2484	霾
2485	青
2486	靓
2487	静
2488	非
2489	靠
2490	靡
2491	面
2492	靥
2493	革
2494	鞋
2495	鞍
2496	鞠
2497	鞭
2498	韧
2499	韭
2500	音
2501	韵
2502	页
2503	顶
2504	顷
2505	顺
2506	顽
2507	顾
2508	顿
2509	颂
2510	预
2511	颅
2512	领
2513	颈
2514	颊
2515	频
2516	颓
2517	颔
2518	颖
2519	颗
2520	题
2521	颜
2522	额
2523	颠
2524	颤
2525	风
2526	飘
2527	飞
2528	食
2529	饕
2530	饥
2531	饭
2532	饮
2533	饯
2534	饱
2535	饲
2536	饼
2537	饿
2538	馁
2539	馈
2540	馋
2541	馒
2542	首
2543	香
2544	馥
2545	馨
2546	马
2547	驭
2548	驰
2549	驱
2550	驳
2551	驶
2552	驻
2553	驾
2554	骂
2555	骄
2556	验
2557	骏
2558	骑
2559	骓
2560	骗
2561	骚
2562	骛
2563	骨
2564	骸
2565	骼
2566	高
2567	髦
2568	髯
2569	鬓
2570	鬼
2571	魂
2572	魄
2573	魅
2574	魇
2575	魏
2576	魔
2577	鱼
2578	鲁
2579	鲜
2580	鲠
2581	鳌
2582	鳞
2583	鸟
2584	鸡
2585	鸣
2586	鸦
2587	鸭
2588	鸽
2589	鸿
2590	鹃
2591	鹅
2592	鹊
2593	鹏
2594	鹤
2595	鹭
2596	鹰
2597	鹿
2598	麦
2599	麻
2600	黄
2601	黎
2602	黑
2603	默
2604	黛
2605	黯
2606	鼓
2607	鼠
2608	鼻
2609	齐
2610	齿
2611	龄
2612	龙
2613	！
2614	（
2615	）
2616	，
2617	：
2618	；
